Calf_ID, Strain, Day, Replicate, Plate_count, Broth_Enrichment
EnvA3, A, 9, 3, 100, NA
EnvA3, A, 10, 1, 100, NA
EnvA3, A, 10, 2, 0, NA
EnvA3, A, 10, 3, 0, NA
EnvA3, A, 11, 1, 0, 10
EnvA3, A, 11, 2, 0, 10
EnvA3, A, 11, 3, 0, 10
EnvA3, A, 12, 1, NA, NA
EnvA3, A, 12, 2, NA, NA
EnvA3, A, 12, 3, NA, NA
EnvA3, A, 13, 1, 400, NA
EnvA3, A, 13, 2, 800, NA
EnvA3, A, 13, 3, 700, NA
EnvA3, A, 15, 1, 0, 10
EnvA3, A, 15, 2, 0, 10
EnvA3, A, 15, 3, 0, 10
EnvA3, A, 16, 1, 100, NA
EnvA3, A, 16, 2, 0, NA
EnvA3, A, 16, 3, 0, NA
EnvA3, A, 17, 1, 100, NA
EnvA3, A, 17, 2, 0, NA
EnvA3, A, 17, 3, 0, NA
EnvA3, A, 18, 1, 100, NA
EnvA3, A, 18, 2, 0, NA
EnvA3, A, 18, 3, 0, NA
b21, B, 0, 1, 0, 0
b21, B, 0, 2, 0, 0
b21, B, 0, 3, 0, 0
b21, B, 1, 1, 0, 0
b21, B, 1, 2, 0, 0
b21, B, 1, 3, 0, 0
b21, B, 2, 1, 0, 0
b21, B, 2, 2, 0, 0
b21, B, 2, 3, 0, 0
b21, B, 3, 1, 0, 0
b21, B, 3, 2, 0, 0
b21, B, 3, 3, 0, 0
b21, B, 4, 1, 0, 0
b21, B, 4, 2, 0, 0
b21, B, 4, 3, 0, 0
b21, B, 5, 1, 0, 0
b21, B, 5, 2, 0, 0
b21, B, 5, 3, 0, 0
b21, B, 6, 1, 0, 0
b21, B, 6, 2, 0, 0
b21, B, 6, 3, 0, 0
b21, B, 7, 1, 0, 0
b21, B, 7, 2, 0, 0
b21, B, 7, 3, 0, 0
b21, B, 8, 1, 0, 0
b21, B, 8, 2, 0, 0
b21, B, 8, 3, 0, 0
b21, B, 9, 1, 0, 0
b21, B, 9, 2, 0, 0
b21, B, 9, 3, 0, 0
b21, B, 10, 1, 0, 0
b21, B, 10, 2, 0, 0
b21, B, 10, 3, 0, 0
b21, B, 11, 1, 0, 0
b21, B, 11, 2, 0, 0
b21, B, 11, 3, 0, 0
b21, B, 12, 1, 0, 0
b21, B, 12, 2, 0, 0
b21, B, 12, 3, 0, 0
b21, B, 13, 1, 0, 0
b21, B, 13, 2, 0, 0
b21, B, 13, 3, 0, 0
b21, B, 15, 1, 0, 0
b21, B, 15, 2, 0, 0
b21, B, 15, 3, 0, 0
b21, B, 16, 1, 0, 0
b21, B, 16, 2, 0, 0
b21, B, 16, 3, 0, 0
b21, B, 17, 1, 0, 0
b21, B, 17, 2, 0, 0
b21, B, 17, 3, 0, 0
b21, B, 18, 1, 0, 0
b21, B, 18, 2, 0, 0
b21, B, 18, 3, 0, 0
b22, B, 0, 1, 0, 0
b22, B, 0, 2, 0, 0
b22, B, 0, 3, 0, 0
b22, B, 1, 1, 0, 0
b22, B, 1, 2, 0, 0
b22, B, 1, 3, 0, 0
b22, B, 2, 1, 0, 0
b22, B, 2, 2, 0, 0
b22, B, 2, 3, 0, 0
b22, B, 3, 1, 0, 0
b22, B, 3, 2, 0, 0
b22, B, 3, 3, 0, 0
b22, B, 4, 1, 0, 0
b22, B, 4, 2, 0, 0
b22, B, 4, 3, 0, 0
b22, B, 5, 1, 0, 0
b22, B, 5, 2, 0, 0
b22, B, 5, 3, 0, 0
b22, B, 6, 1, 0, 0
b22, B, 6, 2, 0, 0
b22, B, 6, 3, 0, 0
b22, B, 7, 1, 0, 0
b22, B, 7, 2, 0, 0
b22, B, 7, 3, 0, 0
b22, B, 8, 1, 0, 0
b22, B, 8, 2, 0, 0
b22, B, 8, 3, 0, 0
b22, B, 9, 1, 0, 0
b22, B, 9, 2, 0, 0
b22, B, 9, 3, 0, 0
b22, B, 10, 1, 0, 0
b22, B, 10, 2, 0, 0
b22, B, 10, 3, 0, 0
b22, B, 11, 1, 0, 0
b22, B, 11, 2, 0, 0
b22, B, 11, 3, 0, 0
b22, B, 12, 1, 0, 0
b22, B, 12, 2, 0, 0
b22, B, 12, 3, 0, 0
b22, B, 13, 1, 0, 0
b22, B, 13, 2, 0, 0
b22, B, 13, 3, 0, 0
b22, B, 15, 1, 0, 0
b22, B, 15, 2, 0, 0
b22, B, 15, 3, 0, 0
b22, B, 16, 1, 0, 0
b22, B, 16, 2, 0, 0
b22, B, 16, 3, 0, 0
b22, B, 17, 1, 0, 0
b22, B, 17, 2, 0, 0
b22, B, 17, 3, 0, 0
b22, B, 18, 1, 0, 0
b22, B, 18, 2, 0, 0
b22, B, 18, 3, 0, 0
b23, B, 0, 1, 0, 0
b23, B, 0, 2, 0, 0
b23, B, 0, 3, 0, 0
b23, B, 1, 1, 0, 0
b23, B, 1, 2, 0, 0
b23, B, 1, 3, 0, 0
b23, B, 2, 1, 0, 0
b23, B, 2, 2, 0, 0
b23, B, 2, 3, 0, 0
b23, B, 3, 1, 0, 0
b23, B, 3, 2, 0, 0
b23, B, 3, 3, 0, 0
b23, B, 4, 1, 0, 0
b23, B, 4, 2, 0, 0
b23, B, 4, 3, 0, 0
b23, B, 5, 1, 0, 0
b23, B, 5, 2, 0, 0
b23, B, 5, 3, 0, 0
b23, B, 6, 1, 0, 0
b23, B, 6, 2, 0, 0
b23, B, 6, 3, 0, 0
b23, B, 7, 1, 0, 0
b23, B, 7, 2, 0, 0
b23, B, 7, 3, 0, 0
b23, B, 8, 1, 0, 0
b23, B, 8, 2, 0, 0
b23, B, 8, 3, 0, 0
b23, B, 9, 1, 0, 0
b23, B, 9, 2, 0, 0
b23, B, 9, 3, 0, 0
b23, B, 10, 1, 0, 0
b23, B, 10, 2, 0, 0
b23, B, 10, 3, 0, 0
b23, B, 11, 1, 0, 0
b23, B, 11, 2, 0, 0
b23, B, 11, 3, 0, 0
